PERSON_ID,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FIRST_LAST,ROSTERSTATUS,FROM_YEAR,TO_YEAR,PLAYERCODE,PLAYER_SLUG,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,TEAM_SLUG,TEAM_CODE,GAMES_PLAYED_FLAG,OTHERLEAGUE_EXPERIENCE_CH
1630271,"Thomas, Brodric",Brodric Thomas,1,2020,2021,brodric_thomas,brodric_thomas,1610612738,Boston,Celtics,BOS,celtics,celtics,Y,11
1629744,"Thomas, Matt",Matt Thomas,1,2019,2021,matt_thomas,matt_thomas,1610612741,Chicago,Bulls,CHI,bulls,bulls,Y,01
1629681,"Tillie, Killian",Killian Tillie,1,2020,2021,killian_tillie,killian_tillie,1610612763,Memphis,Grizzlies,MEM,grizzlies,grizzlies,Y,11
1629730,"Tucker, Rayjon",Rayjon Tucker,1,2019,2021,rayjon_tucker,rayjon_tucker,1610612749,Milwaukee,Bucks,MIL,bucks,bucks,Y,11
1627756,"Valentine, Denzel",Denzel Valentine,0,2016,2021,denzel_valentine,denzel_valentine,0,,,,,,Y,11
1630492,"Vildoza, Luca",Luca Vildoza,1,2020,2021,luca_vildoza,luca_vildoza,1610612749,Milwaukee,Bucks,MIL,bucks,bucks,Y,00
202689,"Walker, Kemba",Kemba Walker,1,2011,2022,kemba_walker,kemba_walker,1610612752,New York,Knicks,NYK,knicks,knicks,Y,00
1630640,"Walker, MJ",MJ Walker,0,2021,2021,mj_walker,mj_walker,0,,,,,,Y,11
202322,"Wall, John",John Wall,1,2010,2022,john_wall,john_wall,1610612745,Houston,Rockets,HOU,rockets,rockets,Y,00
1627820,"Wallace, Tyrone",Tyrone Wallace,0,2017,2021,tyrone_wallace,tyrone_wallace,0,,,,,,Y,11
1628476,"Walton Jr., Derrick",Derrick Walton Jr.,0,2017,2021,derrick_walton_jr,derrick_walton_jr,0,,,,,,Y,11
202954,"Wanamaker, Brad",Brad Wanamaker,0,2018,2021,brad_wanamaker,brad_wanamaker,0,,,,,,Y,01
1629682,"Waters, Tremont",Tremont Waters,0,2019,2021,tremont_waters,tremont_waters,0,,,,,,Y,11
1628778,"Watson, Paul",Paul Watson,0,2019,2021,paul_watson,paul_watson,0,,,,,,Y,11
1629683,"Weatherspoon, Quinndary",Quinndary Weatherspoon,1,2019,2021,quinndary_weatherspoon,quinndary_weatherspoon,1610612744,Golden State,Warriors,GSW,warriors,warriors,Y,11
202355,"Whiteside, Hassan",Hassan Whiteside,1,2010,2021,hassan_whiteside,hassan_whiteside,1610612762,Utah,Jazz,UTA,jazz,jazz,Y,01
101150,"Williams, Lou",Lou Williams,1,2005,2021,lou_williams,lou_williams,1610612737,Atlanta,Hawks,ATL,hawks,hawks,Y,01
1630216,"Winston, Cassius",Cassius Winston,1,2020,2021,cassius_winston,cassius_winston,1610612764,Washington,Wizards,WAS,wizards,wizards,Y,11
1630218,"Woodard II, Robert",Robert Woodard II,1,2020,2021,robert_woodard_ii,robert_woodard_ii,1610612759,San Antonio,Spurs,SAS,spurs,spurs,Y,11
1630589,"Wright, Moses",Moses Wright,1,2021,2021,moses_wright,moses_wright,1610612742,Dallas,Mavericks,DAL,mavericks,mavericks,Y,11
